year_str,2009,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,total
Profiles: Organizations," 1,707 ", 884 , 995 ," 1,229 "," 1,315 "," 2,238 "," 2,283 "," 1,895 "," 1,799 "," 1,368 "," 1,508 "," 1,996 "," 19,217 "
Profiles: People," 1,749 "," 1,192 "," 1,359 "," 1,395 "," 1,647 "," 2,698 "," 1,609 "," 1,681 "," 1,740 "," 1,661 "," 1,637 "," 2,411 "," 20,779 "
Profiles: Products, 719 , 598 , 596 , 501 , 477 , 847 , 404 , 148 , 117 , 204 , 163 , 188 ," 4,962 "
Profiles," 4,175 "," 2,674 "," 2,950 "," 3,125 "," 3,439 "," 5,783 "," 4,296 "," 3,724 "," 3,656 "," 3,233 "," 3,308 "," 4,595 "," 44,958 "
Rounds: angel, 35 , 19 , 16 , 20 , 14 , 26 , 20 , 32 , 34 , 22 , 23 , 29 , 290 
Rounds: seed, 49 , 36 , 74 , 50 , 59 , 60 , 43 , 83 , 89 , 61 , 52 , 59 , 715 
Rounds: venture, 461 , 106 , 149 , 187 , 305 , 606 , 586 , 280 , 399 , 237 , 299 , 615 ," 4,230 "
Rounds: convertible_note,,,,,,,,,,,, 3 , 3 
Rounds: debt_financing, 10 , 3 , 4 , 8 , 6 , 11 , 10 , 7 , 15 , 6 , 24 , 66 , 170 
Rounds: grant,,,, 1 ,, 1 , 2 , 7 , 12 , 6 , 17 , 23 , 69 
Rounds: post_ipo_debt,,,,,, 1 , 1 ,,,, 1 ,, 3 
Rounds: post_ipo_equity,,,,,, 2 ,,,, 1 , 1 , 3 , 7 
Rounds: private_equity, 4 , 2 , 1 , 2 , 4 , 18 , 1 ,, 5 , 2 , 6 , 13 , 58 
Rounds: secondary_market,,,,,,,,, 1 ,,,, 1 
Rounds: undisclosed, 13 , 1 , 6 , 4 , 9 , 26 , 31 , 15 , 34 , 8 , 23 , 24 , 194 
Rounds, 572 , 167 , 250 , 272 , 397 , 751 , 694 , 424 , 589 , 343 , 446 , 835 ," 5,740 "
Acquisitions, 128 , 81 , 75 , 101 , 60 , 87 , 94 , 77 , 92 , 108 , 121 , 149 ," 1,173 "
IPOs, 8 , 9 , 26 , 10 , 16 , 16 , 24 , 21 , 20 , 32 , 18 , 17 , 217 
