year_str,2012,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,total
Profiles: Organizations," 1,578 "," 1,513 "," 2,066 "," 2,086 "," 2,254 "," 2,237 "," 2,309 "," 2,457 "," 2,364 "," 2,680 "," 2,445 "," 2,820 "," 26,809 "
Profiles: People," 2,080 "," 2,162 "," 2,829 "," 2,850 "," 3,002 "," 2,775 "," 3,508 "," 3,070 "," 2,618 "," 2,778 "," 2,874 "," 2,516 "," 33,062 "
Profiles: Products, 286 , 279 , 303 , 365 , 415 , 326 , 575 , 401 , 253 , 290 , 313 , 385 ," 4,191 "
Profiles," 3,944 "," 3,954 "," 5,198 "," 5,301 "," 5,671 "," 5,338 "," 6,392 "," 5,928 "," 5,235 "," 5,748 "," 5,632 "," 5,721 "," 64,062 "
Rounds: angel, 53 , 38 , 36 , 45 , 46 , 72 , 51 , 64 , 41 , 48 , 49 , 30 , 573 
Rounds: seed, 124 , 135 , 142 , 129 , 220 , 144 , 159 , 197 , 182 , 162 , 182 , 147 ," 1,923 "
Rounds: venture, 289 , 241 , 234 , 282 , 279 , 273 , 271 , 227 , 251 , 229 , 233 , 162 ," 2,971 "
Rounds: convertible_note, 1 ,,, 1 , 2 ,, 2 ,,, 2 , 1 , 1 , 10 
Rounds: debt_financing, 17 , 12 , 21 , 20 , 13 , 18 , 20 , 18 , 9 , 13 , 9 , 7 , 177 
Rounds: equity_crowdfunding,,,,,,,,, 2 ,,,, 2 
Rounds: grant, 6 , 7 , 6 , 16 , 14 , 14 , 12 , 14 , 10 , 9 , 3 , 3 , 114 
Rounds: post_ipo_equity,, 3 , 1 , 3 , 1 ,, 1 ,, 1 , 2 , 1 , 1 , 14 
Rounds: private_equity, 7 , 10 , 6 , 8 , 7 , 12 , 9 , 3 , 6 , 4 , 11 , 9 , 92 
Rounds: product_crowdfunding,,,,,,, 1 , 1 ,, 1 ,, 2 , 5 
Rounds: undisclosed, 21 , 32 , 26 , 37 , 29 , 64 , 22 , 32 , 31 , 24 , 14 , 7 , 339 
Rounds, 518 , 478 , 472 , 541 , 611 , 597 , 548 , 556 , 533 , 494 , 503 , 369 ," 6,220 "
Acquisitions, 173 , 130 , 131 , 117 , 143 , 124 , 126 , 124 , 126 , 133 , 125 , 113 ," 1,565 "
IPOs, 9 , 31 , 27 , 21 , 19 , 25 , 17 , 11 , 11 , 26 , 14 , 6 , 217 
